大分類,中分類,名称,URL,説明,ライセンス,リポジトリ,タグ,アイコン
ビッグデータ,SQLクエリエンジン,Apache Hive,https://hive.apache.org/,Hadoop上のデータにSQLライクな問い合わせを提供するデータウェアハウス。,,,,
ビッグデータ,SQLクエリエンジン,Apache Impala,https://impala.apache.org/,Hadoopデータに対し低遅延のMPP SQLを実行するクエリエンジン。,,,,
ビッグデータ,SQLクエリエンジン,Apache Phoenix,https://phoenix.apache.org/,HBase上でSQLとJDBCを利用可能にするリレーショナルレイヤ。,,,,
ビッグデータ,SQLクエリエンジン,Presto,https://prestodb.io/,複数データソースを横断して高速にSQLを実行する分散クエリエンジン。,,,,
ビッグデータ,データシリアライザ,Apache Avro,https://avro.apache.org/,スキーマを内包する行指向のデータシリアライズ形式。,,,,
ビッグデータ,データシリアライザ,Apache Parquet,https://parquet.apache.org/,分析用途に適した列指向のデータファイル形式。,,,,
ビッグデータ,運用管理,Apache Ambari,https://ambari.apache.org/,Hadoopクラスタの構築・監視・管理を行うプロビジョニングツール。,,,,
ビッグデータ,運用管理,Apache Atlas,https://atlas.apache.org/,データ資産のメタデータとリネージを管理するデータガバナンス基盤。,,,,
ビッグデータ,運用管理,Apache Ranger,https://ranger.apache.org/,Hadoopエコシステム全体のアクセス権限を一元管理するセキュリティ基盤。,,,,
ビッグデータ,ダッシュボード,Grafana,https://grafana.com/,時系列メトリクスを中心に多様なデータソースを可視化するダッシュボード。,,,,
ビッグデータ,データストア,Apache HBase,https://hbase.apache.org/,HDFS上で動作する列指向の分散データストア。,,,,
ビッグデータ,データストア,Apache Kudu,https://kudu.apache.org/,高速な分析と更新を両立する列指向の分散ストレージエンジン。,,,,
ビッグデータ,データストア,Infinispan,https://infinispan.org/,Java向けの分散インメモリキー・バリューデータグリッド。,,,,
ビッグデータ,データストア,Redis,https://redis.io/,高速なインメモリ型のキー・バリューストア兼データ構造サーバ。,,,,
ビッグデータ,メタデータ管理,Apache Iceberg,https://iceberg.apache.org/,大規模分析テーブルにスキーマ進化とタイムトラベルをもたらすテーブル形式。,,,,
ビッグデータ,メタデータ管理,Apache Polaris,https://www.snowflake.com/ja/blog/polaris-catalog-open-source/,Icebergテーブル向けのオープンなカタログ実装。,,,,
ビッグデータ,メタデータ管理,Delta Lake,https://delta.io/,データレイクにACIDトランザクションを提供するストレージレイヤ。,,,,
ビッグデータ,メタデータ管理,OpenMetadata,https://open-metadata.org/,データ資産のカタログ・リネージ・品質を統合管理するメタデータ基盤。,,,,
開発支援,開発言語,Amazon Corretto,https://aws.amazon.com/jp/corretto/,AWSが提供する長期サポート付きのOpenJDKディストリビューション。,,,,
開発支援,開発言語,Erlang,https://www.erlang.org/,並行処理と耐障害性に強い関数型プログラミング言語と実行環境。,,,,
開発支援,開発言語,GNU Compiler Collection (GCC),https://gcc.gnu.org/,C/C++をはじめ多言語に対応するGNUの標準コンパイラ集。,,,,
開発支援,開発言語,Go (Golang),https://golang.org/,並行処理と高速ビルドを重視したGoogle発のプログラミング言語。,,,,
開発支援,開発言語,LLVM,https://llvm.org/,モジュール化された再利用可能なコンパイラ基盤とツールチェーン。,,,,
開発支援,開発言語,OpenCOBOL,https://gnucobol.sourceforge.io/,COBOLソースをCへ変換して実行するCOBOLコンパイラ（GnuCOBOL）。,,,,
開発支援,開発言語,OpenJDK,http://openjdk.java.net/,Java SEの参照実装となるオープンソースJava開発キット。,,,,
開発支援,開発言語,Perl,https://www.perl.org/,テキスト処理とシステム管理に強い実用主義的スクリプト言語。,,,,
開発支援,開発言語,PHP,https://www.php.net/,Web開発で広く使われるサーバサイドスクリプト言語。,,,,
開発支援,開発言語,PowerShell,https://github.com/PowerShell,オブジェクト指向のパイプラインを持つクロスプラットフォームなシェルと自動化言語。,,https://github.com/PowerShell,,
開発支援,開発言語,Python,https://www.python.org/,可読性を重視し、Web・データ分析・AIまで幅広く使われる汎用言語。,,,,
開発支援,開発言語,Ruby,https://www.ruby-lang.org/ja/,開発者の書きやすさを重視した国産のオブジェクト指向スクリプト言語。,,,,
開発支援,開発言語,Rust,https://www.rust-lang.org/ja,所有権モデルによりメモリ安全と高性能を両立するシステムプログラミング言語。,,,,
開発支援,開発言語,Scala,https://www.scala-lang.org/,オブジェクト指向と関数型を融合したJVM上の言語。,,,,
開発支援,開発言語,Typescript,https://www.typescriptlang.org/,JavaScriptに静的型付けを加えた大規模開発向けの言語。,,,,
開発支援,統合開発環境・ビルド支援,Apache Ant,http://ant.apache.org/,XMLでビルド手順を記述するJava向けビルドツール。,,,,
開発支援,統合開発環境・ビルド支援,Apache Maven,https://maven.apache.org/,依存関係管理と規約ベースのビルドを行うJavaプロジェクト管理ツール。,,,,
開発支援,統合開発環境・ビルド支援,Apache NetBeans,https://netbeans.apache.org/,Java中心に多言語へ対応する統合開発環境。,,,,
開発支援,統合開発環境・ビルド支援,CheckStyle,https://checkstyle.sourceforge.io/,Javaのコーディング規約準拠をチェックする静的解析ツール。,,,,
開発支援,統合開発環境・ビルド支援,CKEditor,https://ckeditor.com/,Webアプリへ組み込むモダンなリッチテキストエディタ。,,,,
開発支援,統合開発環境・ビルド支援,Eclipse,https://www.eclipse.org/,プラグイン拡張を前提に設計された代表的な統合開発環境。,,,,
開発支援,統合開発環境・ビルド支援,Eclipse Che,https://www.eclipse.org/che/,ブラウザで動作するKubernetesネイティブなクラウド開発環境。,,,,
開発支援,統合開発環境・ビルド支援,Eclipse Theia,https://theia-ide.org/,VS Code拡張と互換性を持つ、組み込み可能なIDEフレームワーク。,,,,
開発支援,統合開発環境・ビルド支援,Visual Studio Code,https://code.visualstudio.com/,軽快さと拡張性を両立した、広く普及するコードエディタ。,,,,
開発支援,統合開発環境・ビルド支援,Gerrit Code Review,https://www.gerritcodereview.com/,Gitと連携したWebベースのコードレビュー／変更管理システム。,,,,
開発支援,統合開発環境・ビルド支援,Gnu DeBugger(GDB),http://www.gnu.org/software/gdb/,C/C++をはじめ多言語に対応するGNUの標準デバッガ。,,,,
開発支援,統合開発環境・ビルド支援,Gradle,https://gradle.org/,柔軟なDSLと増分ビルドで高速化を図るビルド自動化ツール。,,,,
開発支援,統合開発環境・ビルド支援,SpotBugs,https://spotbugs.github.io/,Javaバイトコードを解析してバグの兆候を検出するツール（FindBugs後継）。,,,,
開発支援,統合開発環境・ビルド支援,VSCodium,https://vscodium.com/,テレメトリを除いたVisual Studio Codeのコミュニティビルド。,,,,
開発支援,プロジェクト管理,GanttProject,https://www.ganttproject.biz/,ガントチャートによる工程・資源計画を行うデスクトップ型プロジェクト管理ツール。,,,,
開発支援,プロジェクト管理,Redmine,https://www.redmine.org/,課題管理・工数管理・Wikiを統合した定番のプロジェクト管理ソフト。,,,,
開発支援,テストツール,Apache Jmeter,http://jmeter.apache.org/,Webアプリケーションの負荷試験と性能測定を行うツール。,,,,
開発支援,テストツール,Argo CD,https://argoproj.github.io/,Gitリポジトリを正とするKubernetes向けGitOps継続的デリバリーツール。,,,,
開発支援,テストツール,cypress,https://www.cypress.io/,ブラウザ内で動作する高速なE2Eテストフレームワーク。,,,,
開発支援,テストツール,Jenkins,https://jenkins.io/,豊富なプラグインを備えた定番のCI/CD自動化サーバ。,,,,
開発支援,テストツール,Jest,https://jestjs.io/ja/,設定不要で使えるJavaScript向けのテストフレームワーク。,,,,
開発支援,テストツール,JUnit,http://junit.org/,Java開発における標準的な単体テストフレームワーク。,,,,
開発支援,テストツール,Karma,https://karma-runner.github.io/latest/index.html,実ブラウザ上でJavaScriptテストを実行するテストランナー。,,,,
開発支援,テストツール,PMD,https://pmd.github.io/,ソースコードから潜在的な問題を検出する静的解析ツール。,,,,
開発支援,テストツール,selenide,https://selenide.org/,Selenium WebDriverを簡潔に記述できるようにしたUIテストライブラリ。,,,,
開発支援,テストツール,Selenium,https://www.selenium.dev/,実ブラウザを自動操作してWeb UIをテストする定番フレームワーク。,,,,
開発支援,テストツール,Spock,https://spockframework.org/,Groovyで記述するBDD志向のJava/Groovy用テストフレームワーク。,,,,
開発支援,テストツール,TestNG,https://testng.org/,並列実行やデータ駆動に強いJava向けテストフレームワーク。,,,,
開発支援,テストツール,Valgrind,http://valgrind.org/,メモリリークや不正アクセスを検出する動的解析ツール群。,,,,
開発支援,解析・生成ツール,ESLint,https://eslint.org/,JavaScript/TypeScriptのコード品質と規約を検査するリンタ。,,,,
開発支援,解析・生成ツール,JHipster,https://www.jhipster.tech/,SpringとフロントエンドSPAの雛形を生成するアプリケーションジェネレータ。,,,,
開発支援,解析・生成ツール,Prettier,https://prettier.io/,設定の議論を減らす、意見の強いコードフォーマッタ。,,,,
開発支援,解析・生成ツール,Swagger,https://swagger.io/,OpenAPI仕様に基づきAPI定義・文書・クライアントを生成するツール群。,,,,
開発支援,UIフレームワーク,Angular,https://angular.io/,TypeScriptを前提とした大規模向けのフロントエンドフレームワーク。,,,,
開発支援,UIフレームワーク,Bootstrap,https://getbootstrap.com/,レスポンシブなUIを素早く組めるCSS／コンポーネントフレームワーク。,,,,
開発支援,UIフレームワーク,d3.js,https://d3js.org/,データ駆動でSVGを操作し高度な可視化を実現するライブラリ。,,,,
開発支援,UIフレームワーク,Flutter,https://flutter.dev/,単一コードでモバイル・Web・デスクトップを構築するUIツールキット。,,,,
開発支援,UIフレームワーク,jQuery,https://jquery.com/,DOM操作とAjaxを簡潔に書けるようにした定番JavaScriptライブラリ。,,,,
開発支援,UIフレームワーク,JSHint,https://jshint.com/,JavaScriptコードの潜在的な問題を検出するリンタ。,,,,
開発支援,UIフレームワーク,material ui,https://mui.com/material-ui/,マテリアルデザインに基づくReact用UIコンポーネントライブラリ。,,,,
開発支援,UIフレームワーク,React,https://reactjs.org/,宣言的なコンポーネント指向でUIを構築するJavaScriptライブラリ。,,,,
開発支援,UIフレームワーク,Tailwind CSS,https://tailwindcss.com/,ユーティリティクラスを組み合わせてスタイルを記述するCSSフレームワーク。,,,,
開発支援,UIフレームワーク,Vue.js,https://vuejs.org/,段階的に導入できる親しみやすいフロントエンドフレームワーク。,,,,
開発支援,帳票ツール,BIRT,http://www.eclipse.org/birt/,Eclipse上で帳票とデータ可視化を設計・出力するレポーティング基盤。,,,,
開発支援,帳票ツール,Doxygen,http://www.doxygen.jp/,ソースコードのコメントからAPIリファレンス文書を生成するツール。,,,,
開発支援,帳票ツール,JasperReports Open Source Edition,https://community.jaspersoft.com/,Javaアプリケーションに帳票出力機能を組み込むレポーティングライブラリ。,,,,
開発支援,開発フレームワーク,.Net Core,https://dotnet.microsoft.com/,クロスプラットフォーム対応となった.NETの実行環境と開発フレームワーク。,,,,
開発支援,開発フレームワーク,Apache Struts2,https://struts.apache.org/,MVCモデルに基づくJavaのWebアプリケーションフレームワーク。,,,,
開発支援,開発フレームワーク,Apache Tapestry,http://tapestry.apache.org/,コンポーネント指向で構築するJava製Webフレームワーク。,,,,
開発支援,開発フレームワーク,Django,https://djangoproject.jp/,「全部入り」を志向するPythonのWebアプリケーションフレームワーク。,,,,
開発支援,開発フレームワーク,Ehcache,http://www.ehcache.org/,Javaアプリケーションで広く使われるキャッシュライブラリ。,,,,
開発支援,開発フレームワーク,Electron,https://www.electronjs.org/,Web技術でデスクトップアプリを構築するクロスプラットフォーム基盤。,,,,
開発支援,開発フレームワーク,express,https://expressjs.com/ja/,Node.jsで最も広く使われる軽量なWebアプリケーションフレームワーク。,,,,
開発支援,開発フレームワーク,gRPC,https://grpc.io/,Protocol Buffersを用いた高性能なRPCフレームワーク。,,,,
開発支援,開発フレームワーク,Hibernate,http://hibernate.org/,JavaのオブジェクトとRDBをマッピングするORMフレームワーク。,,,,
開発支援,開発フレームワーク,Homestead,https://github.com/laravel/homestead,Laravel開発用にあらかじめ構成された仮想開発環境。,,https://github.com/laravel/homestead,,
開発支援,開発フレームワーク,MyBatis,https://mybatis.org/mybatis-3/,SQLを明示的に記述しながらJavaオブジェクトへマッピングする永続化フレームワーク。,,,,
開発支援,開発フレームワーク,Next.js,https://nextjs.org/,サーバサイドレンダリングと静的生成に対応したReactフレームワーク。,,,,
開発支援,開発フレームワーク,Node.js,https://nodejs.org/en,V8エンジン上でJavaScriptをサーバサイド実行するランタイム。,,,,
開発支援,開発フレームワーク,Nuxt.js,https://github.com/nuxt/nuxt.js,Vue.jsアプリの構築を体系化したフルスタックフレームワーク。,,https://github.com/nuxt/nuxt.js,,
開発支援,開発フレームワーク,Quarkus,https://quarkus.io/,コンテナと高速起動に最適化されたKubernetesネイティブなJavaフレームワーク。,,,,
開発支援,開発フレームワーク,Ruby on Rails,https://rubyonrails.org/,設定より規約を掲げるRubyのWebアプリケーションフレームワーク。,,,,
開発支援,開発フレームワーク,Semantic Kernel,https://github.com/microsoft/semantic-kernel,LLMを既存アプリへ組み込むためのMicrosoft製SDK。,,https://github.com/microsoft/semantic-kernel,,
開発支援,開発フレームワーク,Spring,https://spring.io/,DIとAOPを核とするJavaのアプリケーション開発フレームワーク群。,,,,
開発支援,開発フレームワーク,Symfony,https://symfony.com/,再利用可能なコンポーネント群からなるPHPのWebフレームワーク。,,,,
開発支援,開発フレームワーク,The Update Framework (TUF),https://theupdateframework.io/,ソフトウェア更新の配布経路を保護するセキュアアップデート仕様。,,,,
開発支援,開発フレームワーク,TinyMCE,https://www.tiny.cloud/,Webページに埋め込むリッチテキスト（WYSIWYG）エディタ。,,,,
開発支援,開発フレームワーク,webpack,https://webpack.js.org/,JavaScriptや各種アセットを依存解決して束ねるモジュールバンドラ。,,,,
開発支援,開発フレームワーク,Zope,https://www.zope.org/,Pythonで書かれたWebアプリケーションサーバ／フレームワーク。,,,,
開発支援,リポジトリ・バージョン管理,Git,https://git-scm.com/,事実上の標準となっている分散型バージョン管理システム。,,,,
開発支援,リポジトリ・バージョン管理,GItea,https://gitea.io/,軽量に自前運用できるGitホスティングサービス。,,,,
開発支援,リポジトリ・バージョン管理,GitBucket,https://gitbucket.github.io/,Scalaで実装された、導入が容易なGitHub互換のGitホスティング。,,,,
開発支援,リポジトリ・バージョン管理,GitLab,https://about.gitlab.com/,リポジトリ管理からCI/CDまでを統合したDevOpsプラットフォーム。,,,,
開発支援,リポジトリ・バージョン管理,Mercurial,https://www.mercurial-scm.org/,シンプルな操作体系を持つ分散型バージョン管理システム。,,,,
開発支援,ライブラリ,Apache Log4j,https://logging.apache.org/log4j/2.x/,Javaアプリケーション向けの定番ロギングライブラリ。,,,,
開発支援,ライブラリ,DPDK,https://core.dpdk.org/,カーネルを迂回して高速パケット処理を実現するデータプレーン開発キット。,,,,
開発支援,ライブラリ,jooq,https://www.jooq.org/,型安全なSQLをJavaコードとして記述できるDBアクセスライブラリ。,,,,
開発支援,ライブラリ,Matplotlib,https://matplotlib.org/,Pythonで静的・動的なグラフを描画する標準的な可視化ライブラリ。,,,,
開発支援,ライブラリ,prisma,https://www.prisma.io/,型安全なスキーマ定義とクエリを提供するNode.js/TypeScript向けORM。,,,,
開発支援,ライブラリ,Sequelize,https://sequelize.org/,Node.js向けのPromiseベースなORMライブラリ。,,,,
開発支援,ライブラリ,TypeORM,https://typeorm.io/,TypeScriptのデコレータでエンティティを定義するORM。,,,,
業務アプリケーション,ERP・CRM,Dolibarr ERP - CRM,https://www.dolibarr.org/,中小企業向けにモジュールを選んで導入できるERP／CRM。,,,,
業務アプリケーション,ERP・CRM,ERP Next,https://erpnext.com/,会計・在庫・製造まで網羅するフルスタックのオープンソースERP。,,,,
業務アプリケーション,ERP・CRM,EspoCRM,https://www.espocrm.com/ja/,軽量で拡張しやすいWebベースの顧客関係管理システム。,,,,
業務アプリケーション,ERP・CRM,iDempiere,https://www.idempiere.org/,OSGiベースで拡張性を高めたエンタープライズ向けERP／CRM。,,,,
業務アプリケーション,ERP・CRM,Odoo,https://www.odoo.com/,業務モジュールを組み合わせて構成する統合業務アプリケーション基盤。,,,,
業務アプリケーション,ERP・CRM,SuiteCRM,https://suitecrm.com/,SugarCRMから派生した高機能なオープンソースCRM。,,,,
業務アプリケーション,アンケート,LimeSurvey,https://www.limesurvey.org/,多彩な設問形式に対応したWebアンケート作成・集計システム。,,,,
業務アプリケーション,地理情報,GeoServer,http://geoserver.org/,地理空間データをOGC標準に沿って配信する地図配信サーバ。,,,,
業務アプリケーション,地理情報,QGIS,https://www.qgis.org/ja/site/,地理空間データの表示・編集・解析を行うデスクトップGISソフト。,,,,
業務アプリケーション,グループウェア,Etherpad,https://etherpad.org/,複数人が同時に文書を編集できるリアルタイム共同エディタ。,,,,
業務アプリケーション,専門ソフトウェア,Asterisk,https://www.asterisk.org/,IP-PBXや音声処理を構築するためのテレフォニープラットフォーム。,,,,
業務アプリケーション,専門ソフトウェア,FreeSWITCH,https://freeswitch.com/,音声・映像通信を扱うスケーラブルなソフトスイッチ基盤。,,,,
業務アプリケーション,専門ソフトウェア,OpenFOAM,https://openfoam.org/,数値流体力学（CFD）シミュレーションのためのC++ツールボックス。,,,,
